"","city","state","totalpop","latitude","longitude"
"483","Alvaton","KY",4368,36.866699,-86.348542
"484","Alverda","PA",266,40.633313,-78.872314
"485","Alverton","PA",474,40.360223,-79.439801
"486","Alvin","IL",703,40.285456,-87.632675
"487","Alvin","TX",46627,29.337714,-95.406048
"488","Alviso","CA",2077,37.189396,-121.705327
"489","Alvo","NE",330,40.885316,-96.37898
"490","Alvord","IA",462,43.352717,-96.311777
"491","Alvord","TX",3156,33.355828,-97.708353
"492","Alvordton","OH",788,41.577786,-84.584125
"493","Alzada","MT",159,45.567085,-104.539066
"494","Ama","LA",1316,29.947005,-90.295997
"495","Amado","AZ",2231,31.672252,-111.09862
"496","Amador City","CA",198,38.418568,-120.831845
"497","Amagansett","NY",1343,40.922326,-72.637078
"498","Amagon","AR",248,35.502463,-91.081687
"499","Amalia","NM",199,36.803628,-105.585441
"500","Amana","IA",1932,41.812242,-91.913869
"501","Amanda Park","WA",398,47.485913,-123.920555
"502","Amanda","OH",4512,39.698161,-82.688692
"503","Amargosa Valley","NV",1456,36.539018,-116.549634
"504","Amarillo","TX",220580,35.2055083333333,-101.845478933333
"505","Amasa","MI",133,46.249415,-88.417593
"506","Amawalk","NY",1219,41.293169,-73.759033
"507","Amazonia","MO",952,39.908392,-94.923508
"508","Amber","OK",857,35.031247,-97.881959
"509","Amberg","WI",875,45.492839,-88.049604
"510","Amberson","PA",193,40.171667,-77.661354
"511","Ambia","IN",491,40.527877,-87.499343
"512","Ambler","AK",259,66.868442,-159.843924
"513","Ambler","PA",32412,40.180876,-75.215621
"514","Amboy","CA",17,34.6122,-115.800458
"515","Amboy","IL",3970,41.721016,-89.299671
"516","Amboy","IN",1439,40.650476,-85.943552
"517","Amboy","MN",1129,43.886884,-94.15839
"518","Amboy","WA",2982,45.923556,-122.450194
"519","Ambridge","PA",11861,40.600494,-80.210521
"520","Ambrose","GA",2248,31.549597,-82.987305
"521","Ambrose","ND",80,48.816502,-103.467251
"522","Amelia Court House","VA",10439,37.342768,-77.984092
"523","Amelia","LA",109,29.688425,-91.220844
"524","Amelia","NE",141,42.556421,-99.032048
"525","Amelia","OH",22680,39.014823,-84.205859
"526","Amenia","ND",266,47.021032,-97.271545
"527","Amenia","NY",2457,41.826491,-73.710901
"528","American Falls","ID",6374,42.635233,-112.945777
"529","American Fork","UT",42384,40.395796,-111.803101
"530","Americus","GA",16019,32.040432,-84.215282
"531","Americus","KS",1360,38.556174,-96.261884
"532","Amery","WI",8155,45.348566,-92.401379
"533","Ames","IA",62905,42.0357955,-93.590282
"534","Ames","NE",517,41.499208,-96.624657
"535","Ames","OK",501,36.246582,-98.185445
"536","Amesbury","MA",16283,42.853539,-70.948211
"537","Amesville","OH",1115,39.410743,-81.936397
"538","Amherst Junction","WI",1515,44.530435,-89.356252
"539","Amherst","CO",154,40.608363,-102.3582
"540","Amherst","MA",39421,42.368327,-72.5502805
"541","Amherst","NE",785,40.916581,-99.292974
"542","Amherst","NH",11247,42.87474,-71.629365
"543","Amherst","OH",20769,41.361746,-82.253828
"544","Amherst","SD",88,45.758528,-97.927389
"545","Amherst","TX",971,34.02831,-102.425378
"546","Amherst","VA",10576,37.59162,-79.108441
"547","Amherst","WI",3469,44.393087,-89.335313
"548","Amherstdale","WV",1140,37.795916,-81.783341
"549","Amidon","ND",132,46.454966,-103.485325
"550","Amigo","WV",154,37.603344,-81.53998
"551","Amissville","VA",5142,38.6842,-78.016813
"552","Amistad","NM",129,36.369783,-103.505541
"553","Amite","LA",13797,30.74483,-90.41058
"554","Amity","AR",3652,34.232509,-93.313673
"555","Amity","MO",337,39.904361,-94.490744
"556","Amity","OR",3794,45.121454,-123.191368
"557","Amity","PA",1391,40.049765,-80.168133
"558","Amityville","NY",27109,40.686249,-73.411866
"559","Amlin","OH",2262,39.969036,-83.011389
"560","Amma","WV",264,38.591037,-81.273681
"561","Amo","IN",159,39.736926,-86.483474
